cleaned_area,cleaned_road,bed,bath,floor,is_land,tag,Loại địa ốc,Pháp lý,cleaned_price
370.0,6.0,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,Sổ hồng,4300.0
105.0,10.0,35.0,30.0,45.0,0,da_nang,bán nhà riêng,Sổ hồng,5134.5
114.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,5300.0
105.0,12.5,5.0,4.0,26.0,0,da_nang,bán nhà riêng,Sổ hồng,6720.0
81.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6700.0
80.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,5400.0
105.0,40.0,3.0,2.0,31.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,5250.0
142.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,26600.0
90.0,8.0,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,Sổ hồng,4550.0
660.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,2390.0
180.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,16900.0
105.0,12.5,3.0,2.0,12.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,3500.0
70.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7000.0
59.0,3.0,3.0,2.0,3.0,0,da_nang,bán nhà riêng,Sổ hồng,3850.0
76.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6000.0
400.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,14000.0
300.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,15900.0
90.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,12000.0
90.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,20000.0
131.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,32900.0
159.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7900.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7000.0
60.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,6090.0
120.0,10.0,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,Giấy tờ hợp lệ,14000.0
150.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất nền dự án,,2475.0
81.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4779.0
105.0,12.5,3.0,3.0,26.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,3500.0
45.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,2900.0
125.0,8.0,3.0,3.0,3.0,0,da_nang,bán nhà riêng,Sổ hồng,11500.0
69.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4850.0
120.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà phố dự án,,16900.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,7200.0
144.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,19800.0
75.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8800.0
70.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,10800.0
105.0,12.5,3.0,3.0,24.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,3600.0
67.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,24000.0
80.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,17000.0
169.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,12500.0
60.0,5.0,3.0,1.0,2.0,0,da_nang,bán nhà riêng,Giấy đỏ,9000.0
100.0,17.5,3.0,4.0,31.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,1600.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,23500.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,9000.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,25800.0
50.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8500.0
82.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,17500.0
49.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,4900.0
71.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,4200.0
100.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,1950.0
105.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,2450.0
53.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8790.0
127.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,15200.0
65.0,3.0,3.0,2.0,2.0,0,da_nang,bán nhà riêng,,4800.0
94.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,15000.0
282.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,21000.0
105.0,12.5,3.0,3.0,21.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,6400.0
112.5,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,9900.0
105.0,12.5,2.0,3.0,4.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,3300.0
90.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,5400.0
123.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8200.0
150.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,13800.0
90.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7200.0
110.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,12900.0
105.0,17.5,4.0,2.0,21.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,4725.0
85.0,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,16000.0
260.0,7.0,2.0,1.0,3.0,0,da_nang,bán nhà riêng,Sổ hồng,14000.0
71.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,9050.0
50.0,12.5,2.0,2.0,4.0,0,da_nang,bán nhà riêng,Sổ hồng,8350.0
82.5,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7850.0
100.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất nền dự án,,6100.0
55.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6350.0
105.0,17.5,4.0,3.0,8.0,0,da_nang,bán nhà riêng,Sổ hồng,5100.0
110.0,3.0,3.0,5.0,4.0,0,da_nang,bán nhà riêng,Sổ hồng,13800.0
250.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,23800.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Hợp đồng,3700.0
73.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,5789.0
76.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,10000.0
128.0,5.0,3.0,2.0,2.0,0,da_nang,bán nhà riêng,Sổ hồng,8000.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,,3700.0
64.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8550.0
50.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,7600.0
107.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,13900.0
78.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,6750.0
96.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,8050.0
51.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Hợp đồng,2900.0
100.4,12.5,3.0,2.0,3.0,0,da_nang,"bán căn hộ mini, dịch vụ",,12000.0
79.0,12.5,2.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,10900.0
70.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,6850.0
100.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,9100.0
105.0,12.5,3.0,4.0,12.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,5000.0
63.0,17.5,2.0,2.0,12.0,0,da_nang,bán căn hộ chung cư,Sổ hồng,4200.0
395.0,12.5,3.0,2.0,3.0,0,da_nang,bán biệt thự,,9000.0
51.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,3760.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Hợp đồng,3700.0
78.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,9700.0
66.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,900.0
45.0,12.5,3.0,1.0,3.0,0,da_nang,bán nhà riêng,,3700.0
72.0,12.5,3.0,2.0,3.0,0,da_nang,bán nhà riêng,,5500.0
45.0,12.5,3.0,2.0,3.0,0,da_nang,bán căn hộ chung cư,,3971.0
74.0,12.5,2.0,2.0,3.0,0,da_nang,bán nhà riêng,Hợp đồng,6000.0
300.0,12.5,4.0,5.0,3.0,0,da_nang,bán nhà phố dự án,Sổ hồng,29500.0
49.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Giấy tờ hợp lệ,3900.0
146.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,12400.0
90.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất nền dự án,,6750.0
150.0,12.5,0.0,0.0,0.0,1,da_nang,bán đất thổ cư,,11000.0
45.0,12.5,1.0,1.0,3.0,0,da_nang,bán căn hộ chung cư,Hợp đồng,3700.0
300.0,17.5,5.0,4.0,4.0,0,da_nang,bán biệt thự,Sổ hồng,27000.0
